#name,distance,star_mag,planet_type,discovery_yr,mass_ME,radius_RE,orbital_radius_AU,orbital_period_yr,eccentricity,detection_method
K2-233 c,220.0,10.883,Super Earth,2018,12.81,1.281,0.06666,0.01943874,0.2002,Transit
K2-233 d,220.0,10.883,Super Earth,2018,21.14,2.352,0.15224,0.06680356,0.1999,Transit
K2-237 b,1028.0,11.602,Gas Giant,2018,433.43,16.184,0.03558,0.006023272,0.04,Transit
K2-238 b,1755.0,13.973,Gas Giant,2018,273.48,14.56,0.046,0.008761123,,Transit
K2-239 b,101.0,14.632,Super Earth,2018,1.37,1.1,0.0441,0.014236824,,Transit
K2-239 c,101.0,14.632,Terrestrial,2018,0.97,1.0,0.0576,0.021355236,,Transit
K2-239 d,101.0,14.632,Super Earth,2018,1.37,1.1,0.0685,0.027652293,,Transit
K2-240 b,238.0,13.372,Super Earth,2018,4.66,2.0,0.0513,0.016427105,,Transit
K2-240 c,238.0,13.372,Super Earth,2018,3.89,1.8,0.1159,0.056125943,,Transit
K2-241 b,488.0,11.97,Neptune-like,2018,7.04,2.5424,0.1567,0.0733744,,Transit
K2-242 b,356.0,16.414,Neptune-like,2018,6.99,2.5424,0.0494,0.01779603,,Transit
K2-243 b,871.0,10.971,Neptune-like,2018,5.35,2.17,0.1087,0.031485286,,Transit
K2-243 c,871.0,10.971,Super Earth,2018,4.7,2.01,0.1817,0.068172485,,Transit
K2-244 b,694.0,11.78,Super Earth,2018,3.71,1.75,0.1418,0.057768654,,Transit
K2-245 b,1488.0,12.755,Neptune-like,2018,17.4,4.3344,0.0959,0.032580424,,Transit
K2-246 b,2295.0,14.792,Neptune-like,2018,12.0,3.4832,0.0602,0.015879534,,Transit
K2-247 b,842.0,14.857,Neptune-like,2018,5.14,2.12,0.0304,0.006297057,,Transit
K2-247 c,842.0,14.857,Neptune-like,2018,5.43,2.19,0.0615,0.01779603,,Transit
K2-248 b,1325.0,13.497,Neptune-like,2018,7.13,2.5648,0.0699,0.019712524,,Transit
K2-249 b,1702.0,12.646,Neptune-like,2018,8.2,2.7888,0.1151,0.03394935,,Transit
K2-24 b,556.0,11.275,Neptune-like,2016,19.0,5.3984,0.154,0.05722108,0.06,Transit
K2-24 c,556.0,11.275,Neptune-like,2016,15.4,7.4928,0.247,0.11581109,0.07,Transit
K2-250 b,1353.0,14.314,Neptune-like,2018,6.53,2.4416,0.0459,0.010951404,,Transit
K2-251 b,480.0,15.66,Neptune-like,2018,6.12,2.352,0.0694,0.025462013,,Transit
K2-252 b,746.0,12.93,Super Earth,2018,3.68,1.74,0.1041,0.03778234,,Transit
K2-253 b,2859.0,15.002,Gas Giant,2018,,12.656,0.0506,0.010951404,,Transit
K2-254 b,743.0,14.238,Super Earth,2018,3.29,1.63,0.0448,0.011225188,,Transit
K2-254 c,743.0,14.238,Neptune-like,2018,5.43,2.19,0.0923,0.033127997,,Transit
